MURALHA DA CHINA,PETRA,CRISTO REDENTOR,MACHU PICCHU,CHICHÉN ITZÁ,COLISEU,TAJ MAHAL
Protejo há séculos os passos de uma antiga dinastia.,Fontes antigas me descrevem como uma cidade verde e sem qualquer escassez de água,"De braços abertos, observo uma das maiores cidades do mundo.","Estou no alto de uma montanha, escondida das vistas da civilização por séculos.","Sou um dos sítios arqueológicos mais famosos da civilização maia, com minha pirâmide que marca o centro da cidade.","Sou o maior anfiteatro do mundo e fui inaugurado no ano 80 d.C. por Vespasiano e Tito, durante o Império Romano.","Eu sou um mausoléu majestoso, construído pelo imperador Shah Jahan em memória de sua amada esposa Mumtaz Mahal, que faleceu durante o parto de seu 14º filho"
Sou tão longo que poderias caminhar por meses sem fim.,"Sou uma cidade esculpida, onde o deserto encontra a história.","Fui inaugurado em 1931, após anos de construção e desafios.","Fui construída no século XV, mas minha existência foi quase esquecida até o início do século XX.","Minha pirâmide, chamada de El Castillo, é um dos maiores exemplos de arquitetura maia e está alinhada com os movimentos do sol.","Fui usado para combates de gladiadores, batalhas navais, caças de animais selvagens e até encenações mitológicas.","Minha construção começou em 1632 e levou mais de 20 anos para ser concluída, envolvendo milhares de artesãos e trabalhadores qualificados."
"Fui erguida contra invasores, mas hoje recebo viajantes.","Minhas fachadas rosadas surgem das rochas, como arte dos deuses.",Meu ponto mais alto alcança 710 metros acima do nível do mar.,Sou uma das mais importantes heranças culturais do Império Inca.,Fui construída entre os séculos VII e X e minha cidade foi uma das mais poderosas do mundo maia,"Minha capacidade era impressionante, com uma audiência de até 50.000 espectadores, todos acomodados de maneira organizada e estratégica.","Eu sou um exemplo impressionante da arquitetura mogol, uma fusão de estilos persa, turco e indiano, com elementos que simbolizam o paraíso."
Meus tijolos e pedras narram histórias de batalhas.,Fui um oásis de riquezas e comércio na Antiguidade.,"Minha estatura impressiona, com 30 metros de altura",Minha localização estratégica me permitiu ser praticamente impenetrável para invasores.,"Durante o equinócio de primavera e outono, uma sombra que parece uma serpente desliza pela escada da pirâmide, representando o deus Kukulcán.",Eu fui projetado com um sistema de corredores e escadas que permitiam a entrada e saída rápida de milhares de pessoas em pouco tempo.,"Sou composto principalmente de mármore branco, que foi trazido de várias regiões da Índia, e é incrivelmente resistente às intempéries."
"De norte a sul, meu corpo serpenteia entre montanhas e desertos.",Meus construtores dominavam a arte de canalizar água no deserto,"Com o tempo, me tornei um ícone reconhecido mundialmente.",Fui redescoberta em 1911 por um explorador americano chamado Hiram Bingham.,"fui abandonada misteriosamente por volta do século X, e o motivo de meu declínio ainda é um mistério para os arqueólogos.","Minhas paredes foram feitas de concreto e pedra, o que me conferiu uma grande resistência, embora o tempo tenha causado danos ao longo dos séculos.","Sou cercado por jardins simétricos, um reflexo da ordem e beleza do paraíso islâmico, com canais de água que refletem minha grande cúpula."
Mesmo os ventos do deserto não podem apagar minha grandiosidade.,"Chamam-me de 'Cidade Perdida,' mas nunca deixei de existir.","Estou no topo do Corcovado, um pico que leva meu nome e história.","Minha construção está cheia de mistérios, com pedras gigantes alinhadas perfeitamente.","Sou um local sagrado, com muitos templos dedicados a deuses maias, como o deus da chuva Chac.","Durante o Império Romano, os combates que aconteciam aqui eram parte de um ritual para entreter a população e demonstrar o poder do imperador.","Minha cúpula central é uma das características mais icônicas, com 35 metros de altura, e foi projetada para representar uma montanha de amor eterno."
Estendo-me tão longe que o horizonte parece não me conter,Minhas ruas foram percorridas por caravanas carregadas de especiarias.,"Sou a estátua mais alta do Brasil, construída em concreto e pedra-sabão.","Muitos acreditam que fui um local religioso, um templo ou até mesmo uma residência real.","Em minhas ruínas, é possível encontrar o famoso 'Templo dos Guerreros', adornado com colunas que representam guerreiros e guerreiros de jaguar.","Fui palco de alguns dos maiores espetáculos da Roma antiga, incluindo batalhas épicas e recriações históricas.","Durante minha construção, o imperador Shah Jahan planejou uma segunda construção como eu, todo feito de ouro, para ser construído em frente a mim, mas ele nunca foi concluído."
"Sou feita de diferentes materiais, adaptados a cada terreno.",Esculturas gigantes guardam segredos em suas pedras avermelhadas.,"Fui projetado por um engenheiro brasileiro, mas minha inspiração veio da França.","Estou localizada a mais de 2.400 metros acima do nível do mar, em plena Cordilheira dos Andes","Durante séculos, fui coberta pela vegetação da selva, até que exploradores começaram a redescobrir meus segredos no século XIX.","Embora eu tenha sido inicialmente usado para combates e eventos sangrentos, no final da Idade Média, fui abandonado e saqueado.","Em meu interior, estou decorado com pedras preciosas e intrincados trabalhos em alabastro, com inscrições do Corão gravadas nas paredes."
Minhas torres avistam o horizonte em busca de perigo.,Minhas montanhas ecoam o silêncio das civilizações antigas,"Hoje, sou uma das principais atrações turísticas do Brasil, com milhões de visitantes anuais.","Apesar de minha grandiosidade, fui abandonada pelos Incas durante a chegada dos conquistadores espanhóis.","Minha principal pirâmide tem 365 degraus, refletindo os dias do ano solar.","Eu sou símbolo do poder e da grandeza do Império Romano e, ainda hoje, sou uma das principais atrações turísticas da Itália.","Eu sou uma expressão eterna de amor, mas também uma representação do poder e da riqueza do Império Mogol na Índia."
"No inverno, meu caminho se cobre de neve branca como papel.","Guardo um teatro que abrigava milhares, esculpido na pedra.","Por mais de 90 anos, continuo imortalizando a fé em um país de diversidade religiosa.","A cidade foi construída sem o uso de argamassa, usando apenas o encaixe perfeito das pedras.","O Cenote Sagrado, que se encontra aqui, foi um local de sacrifícios e rituais, com muitas oferendas e corpos encontrados nas suas águas.","O meu nome vem do 'Colosso de Nero', uma estátua gigante que ficava próxima a mim, representando o imperador Nero.","Minha localização, à beira do rio Yamuna, foi escolhida estrategicamente para simbolizar a conexão entre a vida e a morte, com a água representando o fluxo eterno."
"Estive presente na Rota da Seda, um corredor de riquezas.",Meu nome significa 'pedra' em uma língua antiga.,"Durante o carnaval, sou um dos pontos mais fotografados, com o Rio aos meus pés.","Em 1983, fui declarada Patrimônio Mundial da Humanidade pela UNESCO.","Minha cidade era um centro comercial e político, com uma rede de rotas comerciais ligando o norte e o sul da Mesoamérica.","Durante o Império Romano, os gladiadores eram treinados para lutar em minha arena, e muitos deles eram prisioneiros de guerra ou escravizados.","Embora minha construção tenha sido inicialmente um símbolo de luto, com o tempo, me tornei um dos maiores símbolos de amor e sacrifício na história."
Minhas pedras unem o trabalho de gerações em diferentes eras.,"No passado, servia como ponto estratégico para os nabateus.","De noite, sou iluminado por luzes, fazendo com que meu brilho se destaque na cidade.","Uma de minhas características únicas é o trabalho detalhado nas rochas, especialmente nas 'paredes de pedra seca'.","Fui uma das cidades mais avançadas de meu tempo, com uma rede de ruas pavimentadas e um grande observatório astronômico.","Eu fui restaurado várias vezes ao longo da história, especialmente após terremotos que causaram danos significativos em minha estrutura.","Atraio visitantes por minha beleza arquitetônica, com a maneira como a luz natural muda minha aparência ao longo do dia, criando um espetáculo visual único."
"Minha construção custou vidas, e muitos descansam em meu solo.",Minha água vinha de canais engenhosos que cortavam o deserto.,Meus braços abertos representam a mensagem de paz e amor.,"Minhas construções foram projetadas para resistir a terremotos, com paredes inclinadas que permitem flexibilidade.","A base de El Castillo é quadrada, e cada uma de suas faces está voltada para os pontos cardeais.","Embora eu seja muitas vezes associado com lutas de gladiadores, na verdade, os eventos que eu sediava eram muito diversos, como batalhas navais simuladas.","Acredita-se que Shah Jahan tenha sido aprisionado por seu filho Aurangzeb em um palácio próximo, de onde ele poderia me olhar até sua morte."
"Comparo-me a um dragão adormecido, deitado no norte da Ásia.","O Tesouro, minha construção mais famosa, não guarda ouro, mas histórias.","Vários artistas me imortalizaram em filmes, músicas e fotos.","A origem do meu nome é debatida, com algumas teorias sugerindo que possa significar 'Velha Montanha'.","Eu também sou um importante local para observações astronômicas, com o 'Caracol', um observatório circular dedicado à observação de astros.","Minha construção começou sob o comando de Nero, mas foi completada por seus sucessores, Vespasiano e Tito, após a morte de Nero.","A grande praça em minha frente, conhecida como Charbagh, representa o paraíso islâmico, com quatro seções divididas por caminhos de água."
"De onde estou, avisto a Mongólia ao longe.","Fui cenário de aventuras, incluindo filmes sobre arqueólogos famosos.","Minha imagem foi inspirada por uma estátua famosa, mas com uma abordagem única.","Há muitos enigmas sobre a função de certas construções, como o famoso 'Templo do Sol'.","Em meu auge,  era uma metrópole maia com milhares de habitantes, abrangendo comércio, cultura e religião.","Eu fui um exemplo da engenharia romana avançada, com um sistema de arcos e abóbadas que me permitiram ser extremamente resistente e durável.","Meu nome, significa 'Coroa do Palácio' em persa"
"Guardo histórias de um povo determinado, que enfrentou invasões.","Entre minhas ruínas, há templos, túmulos e mercados esquecidos.",A minha construção foi financiada por doações de católicos brasileiros e internacionais.,"Eu fui construída sobre uma rede de rios e fontes naturais, aproveitando os recursos hídricos da região.","Meu nome significa 'boca do poço dos bruxos da água', fazendo referência aos cenotes e à importância da água em minha civilização.","Durante o auge do Império Romano, meu uso como arena de entretenimento ajudava a manter a população distraída e controlada.","Muitos mitos cercam minha história, incluindo a famosa lenda de que Shah Jahan queria cortar as mãos dos artesãos para que eles nunca mais pudessem criar algo tão belo."
"Sou Patrimônio Mundial da UNESCO, uma obra eterna.",A areia do deserto me protegeu de invasores e do tempo.,"Durante a Segunda Guerra Mundial, fui iluminado com luzes vermelhas para sinalizar apoio ao esforço de guerra.","Fui construída durante o reinado do imperador Inca Pachacuti, que governou no século XV","Os maias desenvolveram um sistema de escrita hieroglífica, e muitos dos monumentos aqui ainda exibem inscrições que relatam eventos históricos e mitológicos.","Após a queda do Império Romano, fui utilizado como uma fortaleza pela nobreza romana durante as invasões bárbaras, e, em certa época, também serviu de residência para famílias.","Apesar de ser amplamente admirado, tenho enfrentado ameaças de poluição e turismo em massa, levando a esforços para preservar minha beleza e garantir minha integridade estrutural."
Minha extensão é meu orgulho: mais de 20.000 quilômetros.,"Hoje, sou Patrimônio Mundial e atraio viajantes do mundo todo.","Fui restaurado em 2010, após danos causados por um raio que atingiu a minha cabeça.","Estudos indicam que a fui planejada de forma a aproveitar ao máximo o sol, com muitas construções alinhadas para eventos solares, como o solstício de inverno.","Possuo um jogo de bola, conhecido como 'Pok-ta-Pok', cujas partidas eram jogadas entre equipes e tinham conotações rituais e políticas.","Hoje em dia, sou considerado um símbolo da resistência humana e da capacidade de adaptação, ainda de pé após tantos séculos de história.","Durante a época colonial britânica, sofri danos, com algumas das pedras preciosas de minhas paredes sendo removidas e até as plantas ao redor destruídas."
Você encontrará em meu trajeto degraus infinitos.,Minhas cores mudam conforme o sol dança sobre minhas pedras.,"Antes de minha construção, existiam projetos alternativos, como a ideia de erguer uma estátua de 100 metros de altura, mas questões de custo e engenharia impediram que isso acontecesse.","Fui construída sem o uso de rodas, com os Incas usando apenas ferramentas de pedra para esculpir e transportar as rochas até o topo da montanha.","Sou conhecida pela grande precisão matemática e geométrica em suas construções, refletindo a sofisticação da sociedade maia.","Em 1749, o Papa Bento XIV decidiu suspender os combates de gladiadores aqui, marcando o fim de uma era sangrenta para minha história.","Em 1857, durante a Rebelião Indiana, fui alvo de saques, e a cerca ao meu redor foi destruída. Muitos artefatos preciosos foram roubados e jamais recuperados."
"A cada estação do ano, minhas cores mudam: do verde ao dourado.","Chegar a mim exige atravessar o Siq, um desfiladeiro estreito e misterioso.","Durante minha construção, foi utilizado um sistema de cabos de aço para transportar materiais até o topo do Corcovado, uma técnica inovadora para a época.","Apesar de estar rodeada por montanhas e florestas, tenho uma impressionante rede de aquedutos e fontes, que foram vitais para a sobrevivência da cidade.","Embora  tenha sido abandonada, os maias continuaram a me visitar e a realizar rituais religiosos durante vários séculos após o meu declínio.","Durante a Idade Média, muitos acreditavam que minha grande estrutura era maldita, por causa dos numerosos eventos sangrentos realizados em meu interior.","No início do século 20, Lord Curzon, o vice-rei britânico da Índia, ordenou a restauração de minha estrutura, que estava se deteriorando devido à poluição e ao tempo."